"summary","behaviour","freq","O1","N1","C1","O2","N2","C2","filledO1","voicedO2","voiced_second_consonant","gcm_naive","gcm_inf","gcm_naive_fea","gcm_inf_fea","mgl"
"l a = z a = b.","b",2,"l","a","=","z","a","=",TRUE,TRUE,TRUE,-0.231945312653771,-0.108691244002362,-1.08883526910465,0.11165769311707,0.0850112802451947
"l a n gy i = b.","b",2,"l","a","n","gy","i","=",TRUE,TRUE,TRUE,-0.727008091748309,0.524296413912664,-0.473050872330678,0.194131034769017,0.612556500899662
"n o r c i = b.","b",2,"n","o","r","c","i","=",TRUE,FALSE,TRUE,-0.184030630767851,0.106497145592592,1.84723806316512,1.68625297601572,0.767299541812253
"p i = c u: r m.","m",2,"p","i","=","c","u:","r",TRUE,FALSE,FALSE,-1.92419334422995,-1.25342646704655,-0.80869133043586,-0.635700473646005,-1.03789327381668
"r i: = m e l b.","b",2,"r","i:","=","m","e","l",TRUE,TRUE,TRUE,0.611571537211237,1.3116440800655,1.97754267082693,3.52742594365813,0.921479845335183
"s u = s o g m.","m",2,"s","u","=","s","o","g",TRUE,FALSE,FALSE,0.943482579645634,1.32364871851527,-0.760609774556825,-0.680373548730024,-0.202349785861109
"sz e n t e m b.","b",2,"sz","e","n","t","e","m",TRUE,FALSE,TRUE,1.68363821662461,1.9810053880081,0.890243294981787,1.8132046996997,0.378214397318805
"sz o = c i = m.","m",2,"sz","o","=","c","i","=",TRUE,FALSE,FALSE,-0.583150671094911,-0.384067608532926,-0.670902884433715,-0.871463904055467,-0.290807008096572
"t i g r i s b.","b",2,"t","i","g","r","i","s",TRUE,TRUE,TRUE,0.491555780869622,2.09075508070709,2.09489253043133,3.42975943825178,0.123383487010111
"t u"" n cs i = b.","b",2,"t","u""","n","cs","i","=",TRUE,FALSE,TRUE,2.0932068874117,1.28439059598798,1.28059129810896,1.02947745521706,0.300871414159574
"v e r s i = b.","b",2,"v","e","r","s","i","=",TRUE,FALSE,TRUE,0.617813853544809,0.78351950930961,1.35313036532006,1.15880293404404,0.813611481109464
"= a = b u = m.","m",1,"=","a","=","b","u","=",FALSE,TRUE,TRUE,0.420537428000416,0.858228834700456,0.440379845095622,0.906974477486856,0.971582767766541
"= a l k u = b.","b",1,"=","a","l","k","u","=",FALSE,FALSE,TRUE,0.0561797148814219,0.198314232704894,-0.058771868723244,0.128568455619546,0.381756437181461
"= a: = d i = b.","b",1,"=","a:","=","d","i","=",FALSE,TRUE,TRUE,1.61691184998624,2.37136087318934,0.283440235198282,0.474680835944004,0.134782270017254
"= e = g e: r b.","b",1,"=","e","=","g","e:","r",FALSE,TRUE,TRUE,1.67603129405154,4.68056591331954,1.77492287441593,3.37681434886719,0.935660271018218
"= e j ny u s b.","b",1,"=","e","j","ny","u","s",FALSE,TRUE,TRUE,3.04099966394459,3.61912729236512,4.5906364394736,4.94333531038425,0.44900501554948
"= i = g e n b.","b",1,"=","i","=","g","e","n",FALSE,TRUE,TRUE,1.20210074218535,2.45107137646867,1.53147375222406,2.35405518624014,0.935660271018218
"= i = n o g b.","b",1,"=","i","=","n","o","g",FALSE,TRUE,TRUE,0.880557599213491,0.807852619671258,0.72541388289385,1.83375792661938,0.697258753697235
"= o r s i = b.","b",1,"=","o","r","s","i","=",FALSE,FALSE,TRUE,0.150842434251454,0.762746735417563,1.01274503174229,0.505514135809454,0.673802973493638
"= u = g o r b.","b",1,"=","u","=","g","o","r",FALSE,TRUE,TRUE,1.2893720297177,4.4622504197307,1.49258296808608,2.99857061749895,0.935660271018218
"= u n cs i = b.","b",1,"=","u","n","cs","i","=",FALSE,FALSE,TRUE,0.333603098986881,1.14483334219498,-0.150339281615775,-0.290565444965704,0.68142694711858
"= u n d i = b.","b",1,"=","u","n","d","i","=",FALSE,TRUE,TRUE,1.03338903511872,2.57703519708377,0.565825119442864,1.41343630183522,0.68142694711858
"br o k k o = m.","m",1,"br","o","k","k","o","=",TRUE,FALSE,FALSE,-0.170197275260994,-0.0753822628133771,-0.402400758149161,-0.187121560129785,-0.00902315327309183
"c i = l a = m.","m",1,"c","i","=","l","a","=",TRUE,TRUE,TRUE,-2.08225827352995,-2.34507968153541,-1.94583471848125,-1.44233495633968,-0.244901187243751
"c u = l a = m.","m",1,"c","u","=","l","a","=",TRUE,TRUE,TRUE,-1.84200236392291,-2.05240903103613,-0.971965856071643,-0.909611258126635,-0.244901187243751
"cs a = l i = m.","m",1,"cs","a","=","l","i","=",TRUE,TRUE,TRUE,-1.0432631353479,-0.496925403073451,-0.460959166344522,-0.292992168542353,0.357523786680729
"cs e = r e g b.","b",1,"cs","e","=","r","e","g",TRUE,TRUE,TRUE,2.73785096577001,2.20936403137007,1.97069918308102,2.85688764418369,0.507496787560246
"cs i l l a: m b.","b",1,"cs","i","l","l","a:","m",TRUE,TRUE,TRUE,0.0247309465963317,0.655723415944813,0.136135486910278,0.91018606337064,0.126303189321492
"cs o = k i = m.","m",1,"cs","o","=","k","i","=",TRUE,FALSE,FALSE,-1.47622085065732,-0.420724909295453,-1.08526833426649,-1.42647996413075,-0.144919688536947
"cs o = sz i = m.","m",1,"cs","o","=","sz","i","=",TRUE,FALSE,FALSE,-1.61020792731159,-1.45338407845204,-1.41182001815126,-1.28801705449232,-0.484811957629626
"cs o: = k i = m.","m",1,"cs","o:","=","k","i","=",TRUE,FALSE,FALSE,-1.29888908009271,-0.430762194553699,-0.826414606812298,-1.18551702168048,-0.131435295144383
"cs o"" n g o"" tt b.","b",1,"cs","o""","n","g","o""","tt",TRUE,TRUE,TRUE,1.6505816131394,2.55139047983237,2.3558710937665,2.22595776603763,0.737669865531152
"d a = r a = b.","b",1,"d","a","=","r","a","=",TRUE,TRUE,TRUE,-0.0210826648357494,0.233876415301987,-0.629094417903186,0.0603896081522159,0.0601629555579219
"d u = c i = b.","b",1,"d","u","=","c","i","=",TRUE,FALSE,FALSE,-0.136726386065219,0.0833360421228361,-0.933416504982971,-0.831433942436652,-0.346261558295317
"d u r c i = b.","b",1,"d","u","r","c","i","=",TRUE,FALSE,TRUE,0.800350745993159,1.07637698103817,1.43375261146943,1.52021006707307,0.0601629555579219
"f e = l e = m.","m",1,"f","e","=","l","e","=",TRUE,TRUE,TRUE,0.583887947514895,-0.611103203938945,0.384645059150353,0.646058651992382,0.323201899700316
"f o = s i = m.","m",1,"f","o","=","s","i","=",TRUE,FALSE,FALSE,-0.891071310429219,-0.453367618505306,-1.48461780005599,-1.31550554795801,-0.202349785861109
"f u r cs a = b.","b",1,"f","u","r","cs","a","=",TRUE,FALSE,TRUE,-0.548276450768324,0.173591227704778,0.649634885875927,-0.0686870426411459,0.353798063049822
"f u: = r o k b.","b",1,"f","u:","=","r","o","k",TRUE,TRUE,TRUE,0.459536429093834,-0.125253079563485,0.307475588503416,1.72119979477582,0.351467094594438
"f u"" r d i = b.","b",1,"f","u""","r","d","i","=",TRUE,TRUE,TRUE,1.10280332706158,1.68973831787011,1.23086928233973,1.19155544873404,0.351467094594438
"f u"" r g e = b.","b",1,"f","u""","r","g","e","=",TRUE,TRUE,TRUE,0.152823872505204,0.40701395937905,-0.828179223868882,-0.680482209989844,0.351467094594438
"g a = b o: = b.","b",1,"g","a","=","b","o:","=",TRUE,TRUE,TRUE,-0.692320918366336,-0.280520859281659,-1.07536480191403,-0.13629392309305,0.387441802699636
"g e = c i = b.","b",1,"g","e","=","c","i","=",TRUE,FALSE,FALSE,-0.986349123472224,-0.994413143393338,-1.5356706268475,-1.06127030545849,-0.366461037406897
"g e = r a = m.","m",1,"g","e","=","r","a","=",TRUE,TRUE,TRUE,0.467121831669051,1.07287417525122,-0.800442654091773,0.106026113264589,0.375637859515781
"g u g l i = b.","b",1,"g","u","g","l","i","=",TRUE,TRUE,TRUE,-0.124951205797631,-0.482605592560418,0.276422414302096,2.20142579289319,0.476289527361471
