"summary","behaviour","freq","O1","N1","C1","O2","N2","C2","filledO1","voicedO2","voiced_second_consonant","gcm_naive","gcm_inf","gcm_naive_fea","gcm_inf_fea","mgl"
"sz e k sz i = b.","b",1,"sz","e","k","sz","i","=",TRUE,FALSE,FALSE,-0.189687779730323,-0.536821173337195,-1.28058585841099,-1.22395553301265,-0.33906773520254
"sz e: = k e m b.","b",1,"sz","e:","=","k","e","m",TRUE,FALSE,FALSE,0.585354546447335,1.91510893889045,0.434909412844545,1.32425396756806,-0.283703621265614
"sz i = = o: = m.","m",1,"sz","i","=","=","o:","=",TRUE,FALSE,FALSE,-0.665948295028722,-0.509845597099617,-0.534374138901291,-1.05709810386776,Inf
"sz o = m o r b.","b",1,"sz","o","=","m","o","r",TRUE,TRUE,TRUE,-0.0830441545214947,1.00974364982953,1.10233679397843,2.87790799647312,0.397417548647771
"sz u = sz o g m.","m",1,"sz","u","=","sz","o","g",TRUE,FALSE,FALSE,0.201299073815472,0.343053195861408,-0.824139815529894,-0.73012420052689,-0.059072174222809
"sz u n d i = b.","b",1,"sz","u","n","d","i","=",TRUE,TRUE,TRUE,0.221310909862598,-0.161441463998835,-0.192292741922721,0.961849045420473,0.0556571558462446
"t a = ny a = m.","m",1,"t","a","=","ny","a","=",TRUE,TRUE,TRUE,0.20940516063422,0.294584298655497,0.669048357855611,0.932816318890283,0.311485622574902
"t a: n c i = m.","m",1,"t","a:","n","c","i","=",TRUE,FALSE,TRUE,1.0747044536921,1.36636116174194,1.06743781019039,0.561432173455278,0.390042836656419
"t e = v e = m.","m",1,"t","e","=","v","e","=",TRUE,TRUE,TRUE,-0.919578809989629,-2.54843079085105,-1.08096147532146,-0.254173591045788,-0.17240318699137
"t e = v i = m.","m",1,"t","e","=","v","i","=",TRUE,TRUE,TRUE,-1.18676586463969,-2.33899580122688,-1.18771504954158,-0.366892341380999,-0.17240318699137
"t u"" n d e: r b.","b",1,"t","u""","n","d","e:","r",TRUE,TRUE,TRUE,3.29742666435998,3.85263324735837,2.09229276479055,3.23344459709936,0.300871414159574
"v e = gy e: sz b.","b",1,"v","e","=","gy","e:","sz",TRUE,TRUE,TRUE,0.89323663947284,1.44351151034044,0.8379819189658,1.47071280404655,0.476289527361471
"v i = c a = m.","m",1,"v","i","=","c","a","=",TRUE,FALSE,FALSE,-1.98512074275974,-1.35438568752087,-1.67452584426088,-1.96711795683295,-0.101280168295994
"v o"" = r o"" s b.","b",1,"v","o""","=","r","o""","s",TRUE,TRUE,TRUE,-0.087356455623112,1.26973124474834,-0.258216993320846,0.415228344803254,0.813611481109464
"z a = b i = m.","m",1,"z","a","=","b","i","=",TRUE,TRUE,TRUE,-0.0746973205341068,0.626968927712461,0.90332031227069,0.940178561317989,0.573898442773058
"z o = l a = b.","b",1,"z","o","=","l","a","=",TRUE,TRUE,TRUE,-1.40285474847939,-1.6416403892286,-1.39631682586276,-0.700925694771205,0.397312103407629
"z u = h o g b.","b",1,"z","u","=","h","o","g",TRUE,FALSE,FALSE,-1.14425723812946,-0.152803085296927,-1.83796675345175,-1.24685651192714,0.31926630664848
"zs i = d o: = b.","b",1,"zs","i","=","d","o:","=",TRUE,TRUE,TRUE,-0.645620479983381,0.475702132022721,-1.32617171254245,-0.247656243305215,0.290361720400782
